name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
LatinSquareFC,1,2736433,2736433,0,1
LatinSquareFC,2,8988,8988,0,1
LatinSquareFC,3,11365,11365,0,1
LatinSquareFC,4,9654,9654,0,1
LatinSquareFC,5,9728,9728,0,1
LatinSquareFC,6,9567,9567,0,1
LatinSquareFC,7,16213,16213,0,1
LatinSquareFC,8,21277,21277,0,1
LatinSquareFC,9,20764,20764,0,1
LatinSquareFC,10,22393,22393,0,1
LatinSquareFC,11,27263,27263,0,1
LatinSquareFC,12,25954,25954,0,1
LatinSquareFC,13,25473,25473,0,1
LatinSquareFC,14,37729,37729,0,1
LatinSquareFC,15,28753,28753,0,1
LatinSquareFC,16,71034,71034,0,1
LatinSquareFC,17,29181,29181,0,1
LatinSquareFC,18,29586,29586,0,1
LatinSquareFC,19,30417,30417,0,1
LatinSquareFC,20,44560,44560,0,1
LatinSquareFC,21,22639,22639,0,1
LatinSquareFC,22,22376,22376,0,1
LatinSquareFC,23,66215,66215,0,1
LatinSquareFC,24,34540,34540,0,1
LatinSquareFC,25,36112,36112,0,1
LatinSquareFC,26,37191,37191,0,1
LatinSquareFC,27,43970,43970,0,1
LatinSquareFC,28,107563,107563,0,1
LatinSquareFC,29,33619,33619,0,1
LatinSquareFC,30,46904,46904,0,1
LatinSquareFC,31,33245,33245,0,1
LatinSquareFC,32,68844,68844,0,1
LatinSquareFC,33,23803,23803,0,1
LatinSquareFC,34,22325,22325,0,1
LatinSquareFC,35,23055,23055,0,1
LatinSquareFC,36,26487,26487,0,1
LatinSquareFC,37,26494,26494,0,1
LatinSquareFC,38,25566,25566,0,1
LatinSquareFC,39,23508,23508,0,1
LatinSquareFC,40,25421,25421,0,1
LatinSquareFC,41,25906,25906,0,1
LatinSquareFC,42,31937,31937,0,1
LatinSquareFC,43,26892,26892,0,1
LatinSquareFC,44,27253,27253,0,1
LatinSquareFC,45,41949,41949,0,1
LatinSquareFC,46,27191,27191,0,1
LatinSquareFC,47,27557,27557,0,1
LatinSquareFC,48,34334,34334,0,1
LatinSquareFC,49,33269,33269,0,1
LatinSquareFC,50,32626,32626,0,1
LatinSquareFC,51,47255,47255,0,1
LatinSquareFC,52,33586,33586,0,1
LatinSquareFC,53,69210,69210,0,1
LatinSquareFC,54,41877,41877,0,1
LatinSquareFC,55,39980,39980,0,1
LatinSquareFC,56,37414,37414,0,1
LatinSquareFC,57,38471,38471,0,1
LatinSquareFC,58,41354,41354,0,1
LatinSquareFC,59,36860,36860,0,1
LatinSquareFC,60,40307,40307,0,1
LatinSquareFC,61,41739,41739,0,1
LatinSquareFC,62,51428,51428,0,1
LatinSquareFC,63,41145,41145,0,1
