name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
LatinSquareBT,1,2284600,2284600,0,1
LatinSquareBT,2,10782,10782,0,2
LatinSquareBT,3,7420,7420,0,3
LatinSquareBT,4,11402,11402,0,4
LatinSquareBT,5,12979,12979,0,5
LatinSquareBT,6,15667,15667,0,6
LatinSquareBT,7,18582,18582,0,7
LatinSquareBT,8,21409,21409,0,8
LatinSquareBT,9,21966,21966,0,9
LatinSquareBT,10,24823,24823,0,10
LatinSquareBT,11,19125,19125,0,11
LatinSquareBT,12,37573,37573,0,12
LatinSquareBT,13,33003,33003,0,13
LatinSquareBT,14,39678,39678,0,14
LatinSquareBT,15,43529,43529,0,15
LatinSquareBT,16,81729,81729,0,16
LatinSquareBT,17,44767,44767,0,17
LatinSquareBT,18,51149,51149,0,18
LatinSquareBT,19,27424,27424,0,19
LatinSquareBT,20,38573,38573,0,20
LatinSquareBT,21,25443,25443,0,21
LatinSquareBT,22,42176,42176,0,22
LatinSquareBT,23,27892,27892,0,23
LatinSquareBT,24,22937,22937,0,24
LatinSquareBT,25,25142,25142,0,25
LatinSquareBT,26,32601,32601,0,26
LatinSquareBT,27,26382,26382,0,27
LatinSquareBT,28,67947,67947,0,28
LatinSquareBT,29,29700,29700,0,29
LatinSquareBT,30,24324,24324,0,30
LatinSquareBT,31,31371,31371,0,31
LatinSquareBT,32,30358,30358,0,32
LatinSquareBT,33,30144,30144,0,33
LatinSquareBT,34,33370,33370,0,34
LatinSquareBT,35,37790,37790,0,35
LatinSquareBT,36,36826,36826,0,36
LatinSquareBT,37,39101,39101,0,37
LatinSquareBT,38,41620,41620,0,38
LatinSquareBT,39,61010,61010,0,39
LatinSquareBT,40,2578561,2578561,0,40
LatinSquareBT,41,39733,39733,0,41
LatinSquareBT,42,41852,41852,0,42
LatinSquareBT,43,70056,70056,0,43
LatinSquareBT,44,239849,239849,0,44
LatinSquareBT,45,96718,96718,0,45
LatinSquareBT,46,49670,49670,0,46
LatinSquareBT,47,59149,59149,0,47
LatinSquareBT,48,52570,52570,0,48
LatinSquareBT,49,106003,106003,0,49
LatinSquareBT,50,111788,111788,0,50
LatinSquareBT,51,54855,54855,0,51
LatinSquareBT,52,98136,98136,0,52
LatinSquareBT,53,109485,109485,0,53
LatinSquareBT,54,67251,67251,0,54
LatinSquareBT,55,99785,99785,0,55
LatinSquareBT,56,122289,122289,0,56
LatinSquareBT,57,105154,105154,0,57
LatinSquareBT,58,74068,74068,0,58
LatinSquareBT,59,117828,117828,0,59
LatinSquareBT,60,124539,124539,0,60
LatinSquareBT,61,120530,120530,0,61
LatinSquareBT,62,119190,119190,0,62
LatinSquareBT,63,122932,122932,0,63
LatinSquareBT,64,125044,125044,0,64
LatinSquareBT,65,27329,27329,0,65
LatinSquareBT,66,28628,28628,0,66
LatinSquareBT,67,30080,30080,0,67
LatinSquareBT,68,32607,32607,0,68
LatinSquareBT,69,31789,31789,0,69
LatinSquareBT,70,35290,35290,0,70
LatinSquareBT,71,33981,33981,0,71
LatinSquareBT,72,29935,29935,0,72
LatinSquareBT,73,31134,31134,0,73
LatinSquareBT,74,30821,30821,0,74
LatinSquareBT,75,35517,35517,0,75
LatinSquareBT,76,35188,35188,0,76
LatinSquareBT,77,33585,33585,0,77
LatinSquareBT,78,37317,37317,0,78
LatinSquareBT,79,33504,33504,0,79
LatinSquareBT,80,38878,38878,0,80
LatinSquareBT,81,36486,36486,0,81
LatinSquareBT,82,38482,38482,0,82
LatinSquareBT,83,40761,40761,0,83
LatinSquareBT,84,42834,42834,0,84
LatinSquareBT,85,39349,39349,0,85
LatinSquareBT,86,56978,56978,0,86
LatinSquareBT,87,44542,44542,0,87
LatinSquareBT,88,40534,40534,0,88
LatinSquareBT,89,48732,48732,0,89
LatinSquareBT,90,45345,45345,0,90
LatinSquareBT,91,50339,50339,0,91
LatinSquareBT,92,70668,70668,0,92
LatinSquareBT,93,54314,54314,0,93
LatinSquareBT,94,51650,51650,0,94
LatinSquareBT,95,50843,50843,0,95
LatinSquareBT,96,320535,320535,0,96
LatinSquareBT,97,48247,48247,0,97
LatinSquareBT,98,48573,48573,0,98
LatinSquareBT,99,48505,48505,0,99
LatinSquareBT,100,55144,55144,0,100
LatinSquareBT,101,80102,80102,0,101
LatinSquareBT,102,50959,50959,0,102
LatinSquareBT,103,62208,62208,0,103
LatinSquareBT,104,47042,47042,0,104
LatinSquareBT,105,35347,35347,0,105
LatinSquareFC,1,779778,779778,0,1
LatinSquareFC,2,10558,10558,0,1
LatinSquareFC,3,6997,6997,0,1
LatinSquareFC,4,13002,13002,0,1
LatinSquareFC,5,45241,45241,0,1
LatinSquareFC,6,16637,16637,0,1
LatinSquareFC,7,18600,18600,0,1
LatinSquareFC,8,22971,22971,0,1
LatinSquareFC,9,24946,24946,0,1
LatinSquareFC,10,23220,23220,0,1
LatinSquareFC,11,30201,30201,0,1
LatinSquareFC,12,22869,22869,0,1
LatinSquareFC,13,26291,26291,0,1
LatinSquareFC,14,26465,26465,0,1
LatinSquareFC,15,27445,27445,0,1
LatinSquareFC,16,59885,59885,0,1
LatinSquareFC,17,27318,27318,0,1
LatinSquareFC,18,97519,97519,0,1
LatinSquareFC,19,27736,27736,0,1
LatinSquareFC,20,34875,34875,0,1
LatinSquareFC,21,30866,30866,0,1
LatinSquareFC,22,28387,28387,0,1
LatinSquareFC,23,134356,134356,0,1
LatinSquareFC,24,24592,24592,0,1
LatinSquareFC,25,28820,28820,0,1
LatinSquareFC,26,28359,28359,0,1
LatinSquareFC,27,29435,29435,0,1
LatinSquareFC,28,44995,44995,0,1
LatinSquareFC,29,30230,30230,0,1
LatinSquareFC,30,28456,28456,0,1
LatinSquareFC,31,31382,31382,0,1
LatinSquareFC,32,57677,57677,0,1
LatinSquareFC,33,22565,22565,0,1
LatinSquareFC,34,28256,28256,0,1
LatinSquareFC,35,23799,23799,0,1
LatinSquareFC,36,29588,29588,0,1
LatinSquareFC,37,25677,25677,0,1
LatinSquareFC,38,35151,35151,0,1
LatinSquareFC,39,24968,24968,0,1
LatinSquareFC,40,27013,27013,0,1
LatinSquareFC,41,31054,31054,0,1
LatinSquareFC,42,33902,33902,0,1
LatinSquareFC,43,28710,28710,0,1
LatinSquareFC,44,28278,28278,0,1
LatinSquareFC,45,35379,35379,0,1
LatinSquareFC,46,28377,28377,0,1
LatinSquareFC,47,32035,32035,0,1
LatinSquareFC,48,33692,33692,0,1
LatinSquareFC,49,32647,32647,0,1
LatinSquareFC,50,35736,35736,0,1
LatinSquareFC,51,33957,33957,0,1
LatinSquareFC,52,38979,38979,0,1
LatinSquareFC,53,32172,32172,0,1
LatinSquareFC,54,50360,50360,0,1
LatinSquareFC,55,56865,56865,0,1
LatinSquareFC,56,33737,33737,0,1
LatinSquareFC,57,42233,42233,0,1
LatinSquareFC,58,46493,46493,0,1
LatinSquareFC,59,43312,43312,0,1
LatinSquareFC,60,34583,34583,0,1
LatinSquareFC,61,43472,43472,0,1
LatinSquareFC,62,36004,36004,0,1
LatinSquareFC,63,38311,38311,0,1
LatinSquareFC,64,40715,40715,0,1
LatinSquareFC,65,34931,34931,0,1
LatinSquareFC,66,42483,42483,0,1
LatinSquareFC,67,40087,40087,0,1
LatinSquareFC,68,49238,49238,0,1
LatinSquareFC,69,37464,37464,0,1
LatinSquareFC,70,38049,38049,0,1
LatinSquareFC,71,37238,37238,0,1
LatinSquareFC,72,43591,43591,0,1
LatinSquareFC,73,44584,44584,0,1
LatinSquareFC,74,40008,40008,0,1
LatinSquareFC,75,37863,37863,0,1
LatinSquareFC,76,54205,54205,0,1
LatinSquareFC,77,45430,45430,0,1
LatinSquareFC,78,48128,48128,0,1
