name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
LatinSquareFC,1,2433229,2433229,0,1
LatinSquareFC,2,12246,12246,0,1
LatinSquareFC,3,12664,12664,0,1
LatinSquareFC,4,9873,9873,0,1
LatinSquareFC,5,10287,10287,0,1
LatinSquareFC,6,11505,11505,0,1
LatinSquareFC,7,18629,18629,0,1
LatinSquareFC,8,21973,21973,0,1
LatinSquareFC,9,21517,21517,0,1
LatinSquareFC,10,23274,23274,0,1
LatinSquareFC,11,29185,29185,0,1
LatinSquareFC,12,25973,25973,0,1
LatinSquareFC,13,28611,28611,0,1
LatinSquareFC,14,39384,39384,0,1
LatinSquareFC,15,30468,30468,0,1
LatinSquareFC,16,54438,54438,0,1
LatinSquareFC,17,33291,33291,0,1
LatinSquareFC,18,34413,34413,0,1
LatinSquareFC,19,32895,32895,0,1
LatinSquareFC,20,41152,41152,0,1
LatinSquareFC,21,38248,38248,0,1
LatinSquareFC,22,25484,25484,0,1
LatinSquareFC,23,54362,54362,0,1
LatinSquareFC,24,37652,37652,0,1
LatinSquareFC,25,67921,67921,0,1
LatinSquareFC,26,41778,41778,0,1
LatinSquareFC,27,40279,40279,0,1
LatinSquareFC,28,56588,56588,0,1
LatinSquareFC,29,34799,34799,0,1
LatinSquareFC,30,39808,39808,0,1
LatinSquareFC,31,38588,38588,0,1
LatinSquareFC,32,57079,57079,0,1
LatinSquareFC,33,22399,22399,0,1
LatinSquareFC,34,23820,23820,0,1
LatinSquareFC,35,25509,25509,0,1
LatinSquareFC,36,19534,19534,0,1
LatinSquareFC,37,24922,24922,0,1
LatinSquareFC,38,30135,30135,0,1
LatinSquareFC,39,24985,24985,0,1
LatinSquareFC,40,20422,20422,0,1
LatinSquareFC,41,18759,18759,0,1
LatinSquareFC,42,32950,32950,0,1
LatinSquareFC,43,26794,26794,0,1
LatinSquareFC,44,30849,30849,0,1
LatinSquareFC,45,33692,33692,0,1
LatinSquareFC,46,36527,36527,0,1
LatinSquareFC,47,23543,23543,0,1
LatinSquareFC,48,23691,23691,0,1
LatinSquareFC,49,31764,31764,0,1
LatinSquareFC,50,38411,38411,0,1
LatinSquareFC,51,23276,23276,0,1
LatinSquareFC,52,36376,36376,0,1
LatinSquareFC,53,86694,86694,0,1
LatinSquareFC,54,41543,41543,0,1
LatinSquareFC,55,41819,41819,0,1
LatinSquareFC,56,37189,37189,0,1
LatinSquareFC,57,39463,39463,0,1
LatinSquareFC,58,63029,63029,0,1
LatinSquareFC,59,42646,42646,0,1
LatinSquareFC,60,43043,43043,0,1
LatinSquareFC,61,38734,38734,0,1
LatinSquareFC,62,40519,40519,0,1
LatinSquareFC,63,40441,40441,0,1
LatinSquareFC,64,77985,77985,0,1
LatinSquareFC,65,41706,41706,0,1
LatinSquareFC,66,43148,43148,0,1
LatinSquareFC,67,48353,48353,0,1
LatinSquareFC,68,44823,44823,0,1
LatinSquareFC,69,40081,40081,0,1
LatinSquareFC,70,54052,54052,0,1
LatinSquareFC,71,50748,50748,0,1
LatinSquareFC,72,50283,50283,0,1
LatinSquareFC,73,49163,49163,0,1
LatinSquareFC,74,68970,68970,0,1
LatinSquareFC,75,50853,50853,0,1
LatinSquareFC,76,49002,49002,0,1
LatinSquareFC,77,51852,51852,0,1
LatinSquareFC,78,56296,56296,0,1
LatinSquareFC,79,45922,45922,0,1
LatinSquareFC,80,50762,50762,0,1
LatinSquareFC,81,46618,46618,0,1
LatinSquareFC,82,48492,48492,0,1
LatinSquareFC,83,46606,46606,0,1
LatinSquareFC,84,54263,54263,0,1
LatinSquareFC,85,61166,61166,0,1
LatinSquareFC,86,48914,48914,0,1
LatinSquareFC,87,54784,54784,0,1
LatinSquareFC,88,54642,54642,0,1
LatinSquareFC,89,58026,58026,0,1
LatinSquareFC,90,55230,55230,0,1
LatinSquareFC,91,58490,58490,0,1
LatinSquareFC,92,63345,63345,0,1
LatinSquareFC,93,68865,68865,0,1
LatinSquareFC,94,56879,56879,0,1
LatinSquareFC,95,61452,61452,0,1
LatinSquareFC,96,59441,59441,0,1
LatinSquareFC,97,53285,53285,0,1
LatinSquareFC,98,60652,60652,0,1
LatinSquareFC,99,59213,59213,0,1
LatinSquareFC,100,62165,62165,0,1
LatinSquareFC,101,69832,69832,0,1
LatinSquareFC,102,70747,70747,0,1
LatinSquareFC,103,61683,61683,0,1
LatinSquareFC,104,66113,66113,0,1
LatinSquareFC,105,71909,71909,0,1
LatinSquareFC,106,76928,76928,0,1
LatinSquareFC,107,60494,60494,0,1
LatinSquareFC,108,64170,64170,0,1
LatinSquareFC,109,60706,60706,0,1
LatinSquareFC,110,59838,59838,0,1
LatinSquareFC,111,75357,75357,0,1
LatinSquareFC,112,77214,77214,0,1
LatinSquareFC,113,67372,67372,0,1
LatinSquareFC,114,72572,72572,0,1
LatinSquareFC,115,93414,93414,0,1
LatinSquareFC,116,75351,75351,0,1
LatinSquareFC,117,76667,76667,0,1
LatinSquareFC,118,74446,74446,0,1
LatinSquareFC,119,74968,74968,0,1
LatinSquareFC,120,82522,82522,0,1
LatinSquareFC,121,67904,67904,0,1
LatinSquareFC,122,71131,71131,0,1
LatinSquareFC,123,78802,78802,0,1
LatinSquareFC,124,125975,125975,0,1
LatinSquareFC,125,78405,78405,0,1
LatinSquareFC,126,78092,78092,0,1
LatinSquareFC,127,95639,95639,0,1
LatinSquareFC,128,127898,127898,0,1
LatinSquareFC,129,86920,86920,0,1
LatinSquareFC,130,93837,93837,0,1
LatinSquareFC,131,91119,91119,0,1
