name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
NQueenBT,1,58414,12406,1,2
NQueenBT,2,4373,4373,0,3
NQueenBT,3,5966,5966,0,6
NQueenBT,4,21892,10882,2,17
NQueenBT,5,85881,8648,10,54
NQueenBT,6,383145,89861,4,153
NQueenBT,7,502963,8566,40,552
NQueenBT,8,2304371,1175497,92,2057
NQueenBT,9,3130976,26365,352,8394
NQueenBT,10,12714651,40679,724,35539
NQueenBT,11,39050052,37219,2680,166926
NQueenBT,12,200472544,85857,14200,856189
NQueenBT,13,1353029108,48220,73712,4674890
NQueenBT,14,5852357621,390526,365596,27358553
NQueenFC,1,15134,13152,1,2
NQueenFC,2,5928,5928,0,3
NQueenFC,3,5495,5495,0,6
NQueenFC,4,22584,11771,2,17
NQueenFC,5,61907,9261,10,54
NQueenFC,6,194806,39369,4,153
NQueenFC,7,758467,14591,40,552
NQueenFC,8,481459,51268,92,2057
NQueenFC,9,1934483,13978,352,8394
NQueenFC,10,11300212,33734,724,35539
NQueenFC,11,19115032,19800,2680,166926
NQueenFC,12,131042293,51947,14200,856189
NQueenFC,13,541674830,21594,73712,4674890
NQueenFC,14,2987783452,243619,365596,27358553
