name,dim,exec_time_nanos,first_found_time_nanos,solutions,entries
NQueenBT,1,3747318,3747318,0,1
NQueenBT,2,8095,8095,0,1
NQueenBT,3,9593,9593,0,1
NQueenBT,4,9602,9602,0,1
NQueenBT,5,9719,9719,0,1
NQueenBT,6,10135,10135,0,1
NQueenBT,7,12340,12340,0,1
NQueenBT,8,15975,15975,0,1
NQueenBT,9,10910,10910,0,1
NQueenBT,10,9884,9884,0,1
NQueenBT,11,10970,10970,0,1
NQueenBT,12,10629,10629,0,1
NQueenBT,13,11383,11383,0,1
NQueenBT,14,12497,12497,0,1
NQueenBT,15,12537,12537,0,1
NQueenBT,16,17629,17629,0,1
NQueenBT,17,16800,16800,0,1
NQueenBT,18,23661,23661,0,1
NQueenBT,19,23793,23793,0,1
NQueenBT,20,26249,26249,0,1
NQueenBT,21,22793,22793,0,1
NQueenBT,22,22732,22732,0,1
NQueenBT,23,28898,28898,0,1
NQueenBT,24,26698,26698,0,1
NQueenBT,25,24717,24717,0,1
NQueenBT,26,27204,27204,0,1
NQueenBT,27,23671,23671,0,1
NQueenBT,28,55111,55111,0,1
NQueenBT,29,26854,26854,0,1
NQueenBT,30,36661,36661,0,1
NQueenBT,31,10022,10022,0,1
NQueenBT,32,8635,8635,0,1
NQueenBT,33,10299,10299,0,1
NQueenBT,34,11813,11813,0,1
NQueenBT,35,10726,10726,0,1
NQueenBT,36,11272,11272,0,1
NQueenBT,37,10676,10676,0,1
NQueenBT,38,15087,15087,0,1
NQueenBT,39,10914,10914,0,1
NQueenBT,40,11793,11793,0,1
NQueenBT,41,11880,11880,0,1
NQueenBT,42,9741,9741,0,1
NQueenBT,43,11581,11581,0,1
NQueenBT,44,11079,11079,0,1
NQueenBT,45,17843,17843,0,1
NQueenBT,46,13106,13106,0,1
NQueenBT,47,11275,11275,0,1
NQueenBT,48,14271,14271,0,1
NQueenBT,49,11598,11598,0,1
NQueenBT,50,15516,15516,0,1
NQueenBT,51,12433,12433,0,1
NQueenBT,52,12427,12427,0,1
NQueenBT,53,17271,17271,0,1
NQueenBT,54,16276,16276,0,1
NQueenBT,55,13960,13960,0,1
NQueenBT,56,13440,13440,0,1
NQueenBT,57,12836,12836,0,1
NQueenBT,58,13479,13479,0,1
NQueenBT,59,14648,14648,0,1
NQueenBT,60,15116,15116,0,1
NQueenBT,61,17801,17801,0,1
NQueenBT,62,14610,14610,0,1
NQueenBT,63,15145,15145,0,1
NQueenBT,64,21526,21526,0,1
NQueenBT,65,14571,14571,0,1
NQueenBT,66,15896,15896,0,1
NQueenBT,67,16086,16086,0,1
NQueenBT,68,20538,20538,0,1
NQueenBT,69,17158,17158,0,1
NQueenBT,70,23091,23091,0,1
NQueenBT,71,18203,18203,0,1
NQueenBT,72,12141,12141,0,1
NQueenBT,73,19339,19339,0,1
NQueenBT,74,18970,18970,0,1
NQueenBT,75,17452,17452,0,1
NQueenBT,76,17346,17346,0,1
NQueenBT,77,21888,21888,0,1
NQueenBT,78,28557,28557,0,1
NQueenBT,79,17481,17481,0,1
NQueenBT,80,17339,17339,0,1
NQueenBT,81,10296215,10296215,0,1
NQueenBT,82,21085,21085,0,1
NQueenBT,83,25420,25420,0,1
NQueenBT,84,23975,23975,0,1
NQueenBT,85,21753,21753,0,1
NQueenBT,86,19513,19513,0,1
NQueenBT,87,21080,21080,0,1
NQueenBT,88,20709,20709,0,1
NQueenBT,89,20345,20345,0,1
NQueenBT,90,20635,20635,0,1
NQueenBT,91,24436,24436,0,1
NQueenBT,92,21031,21031,0,1
NQueenBT,93,23314,23314,0,1
NQueenBT,94,22689,22689,0,1
NQueenBT,95,26450,26450,0,1
NQueenBT,96,23504,23504,0,1
NQueenBT,97,22539,22539,0,1
NQueenBT,98,22188,22188,0,1
NQueenBT,99,19884,19884,0,1
NQueenBT,100,21715,21715,0,1
NQueenBT,101,29108,29108,0,1
NQueenBT,102,25948,25948,0,1
NQueenBT,103,21960,21960,0,1
NQueenBT,104,23465,23465,0,1
NQueenBT,105,31021,31021,0,1
NQueenBT,106,25051,25051,0,1
NQueenBT,107,26337,26337,0,1
NQueenBT,108,58660,58660,0,1
NQueenBT,109,24156,24156,0,1
NQueenBT,110,25897,25897,0,1
NQueenBT,111,31616,31616,0,1
NQueenBT,112,19160,19160,0,1
NQueenBT,113,30356,30356,0,1
NQueenBT,114,34465,34465,0,1
NQueenFC,1,3400839,3400839,0,1
NQueenFC,2,10916,10916,0,1
NQueenFC,3,13943,13943,0,1
NQueenFC,4,14067,14067,0,1
NQueenFC,5,14602,14602,0,1
NQueenFC,6,17114,17114,0,1
NQueenFC,7,21666,21666,0,1
NQueenFC,8,24753,24753,0,1
NQueenFC,9,20460,20460,0,1
NQueenFC,10,17523,17523,0,1
NQueenFC,11,21093,21093,0,1
NQueenFC,12,19424,19424,0,1
NQueenFC,13,21371,21371,0,1
NQueenFC,14,23529,23529,0,1
NQueenFC,15,29389,29389,0,1
NQueenFC,16,48406,48406,0,1
NQueenFC,17,31387,31387,0,1
NQueenFC,18,49537,49537,0,1
NQueenFC,19,55712,55712,0,1
NQueenFC,20,55943,55943,0,1
NQueenFC,21,78524,78524,0,1
NQueenFC,22,67679,67679,0,1
NQueenFC,23,71239,71239,0,1
NQueenFC,24,29288,29288,0,1
NQueenFC,25,31682,31682,0,1
NQueenFC,26,32605,32605,0,1
NQueenFC,27,36078,36078,0,1
NQueenFC,28,40909,40909,0,1
NQueenFC,29,50488,50488,0,1
NQueenFC,30,39356,39356,0,1
NQueenFC,31,41457,41457,0,1
NQueenFC,32,119014,119014,0,1
NQueenFC,33,53675,53675,0,1
NQueenFC,34,53879,53879,0,1
NQueenFC,35,49955,49955,0,1
NQueenFC,36,66674,66674,0,1
NQueenFC,37,50968,50968,0,1
NQueenFC,38,69706,69706,0,1
NQueenFC,39,40945,40945,0,1
NQueenFC,40,47943,47943,0,1
NQueenFC,41,44066,44066,0,1
NQueenFC,42,45725,45725,0,1
NQueenFC,43,45253,45253,0,1
NQueenFC,44,64703,64703,0,1
NQueenFC,45,349820,349820,0,1
NQueenFC,46,48986,48986,0,1
NQueenFC,47,50464,50464,0,1
NQueenFC,48,57987,57987,0,1
NQueenFC,49,54792,54792,0,1
NQueenFC,50,59988,59988,0,1
NQueenFC,51,63493,63493,0,1
NQueenFC,52,69951,69951,0,1
NQueenFC,53,79340,79340,0,1
NQueenFC,54,67233,67233,0,1
NQueenFC,55,83946,83946,0,1
NQueenFC,56,70306,70306,0,1
NQueenFC,57,85636,85636,0,1
NQueenFC,58,82075,82075,0,1
NQueenFC,59,264383,264383,0,1
NQueenFC,60,93686,93686,0,1
NQueenFC,61,90288,90288,0,1
NQueenFC,62,97383,97383,0,1
NQueenFC,63,105806,105806,0,1
NQueenFC,64,104564,104564,0,1
NQueenFC,65,106154,106154,0,1
NQueenFC,66,117119,117119,0,1
NQueenFC,67,285395,285395,0,1
NQueenFC,68,114940,114940,0,1
NQueenFC,69,128229,128229,0,1
NQueenFC,70,139369,139369,0,1
NQueenFC,71,132941,132941,0,1
NQueenFC,72,139804,139804,0,1
NQueenFC,73,311240,311240,0,1
NQueenFC,74,94096,94096,0,1
NQueenFC,75,151093,151093,0,1
NQueenFC,76,146964,146964,0,1
NQueenFC,77,354058,354058,0,1
NQueenFC,78,154429,154429,0,1
NQueenFC,79,162816,162816,0,1
NQueenFC,80,178245,178245,0,1
NQueenFC,81,4516513,4516513,0,1
NQueenFC,82,155326,155326,0,1
NQueenFC,83,125165,125165,0,1
NQueenFC,84,113490,113490,0,1
NQueenFC,85,132487,132487,0,1
NQueenFC,86,122166,122166,0,1
NQueenFC,87,152140,152140,0,1
NQueenFC,88,132699,132699,0,1
NQueenFC,89,174979,174979,0,1
NQueenFC,90,184108,184108,0,1
NQueenFC,91,148479,148479,0,1
NQueenFC,92,162465,162465,0,1
NQueenFC,93,144536,144536,0,1
NQueenFC,94,140480,140480,0,1
NQueenFC,95,162257,162257,0,1
NQueenFC,96,157715,157715,0,1
NQueenFC,97,180645,180645,0,1
NQueenFC,98,185832,185832,0,1
NQueenFC,99,181439,181439,0,1
NQueenFC,100,241896,241896,0,1
NQueenFC,101,407301,407301,0,1
NQueenFC,102,191332,191332,0,1
NQueenFC,103,513245,513245,0,1
NQueenFC,104,231067,231067,0,1
NQueenFC,105,432931,432931,0,1
NQueenFC,106,537858,537858,0,1
NQueenFC,107,279190,279190,0,1
NQueenFC,108,437156,437156,0,1
NQueenFC,109,282519,282519,0,1
NQueenFC,110,429462,429462,0,1
NQueenFC,111,446645,446645,0,1
NQueenFC,112,284422,284422,0,1
NQueenFC,113,475872,475872,0,1
NQueenFC,114,650381,650381,0,1
